Содержимое хеш-таблицы (Линейное Пробирование)
Индекс  0: 'и' (Счетчик: 1)
Индекс  1: 'данных' (Счетчик: 1)
Индекс  2: 'не' (Счетчик: 1)
Индекс  3: 'одинаковых' (Счетчик: 1)
Индекс  4: 'элемент' (Счетчик: 1)
Индекс  5: 'возвращали' (Счетчик: 1)
Индекс  6: 'есть' (Счетчик: 1)
Индекс  7: 'один' (Счетчик: 1)
Индекс  8: 'последовательными' (Счетчик: 1)
Индекс  9: 'если' (Счетчик: 1)
Индекс 10: 'это' (Счетчик: 1)
Индекс 11: 'будет' (Счетчик: 1)
Индекс 12: 'нарушено' (Счетчик: 1)
Индекс 13: 'очень' (Счетчик: 1)
Индекс 14: 'чтобы' (Счетчик: 1)
Индекс 15: 'были' (Счетчик: 1)
Индекс 16: 'то' (Счетчик: 1)
Индекс 17: 'входных' (Счетчик: 1)
Индекс 18: 'неизменно' (Счетчик: 1)
Индекс 19: 'вы' (Счетчик: 1)
Индекс 20: 'результат' (Счетчик: 1)
Индекс 21: 'условие' (Счетчик: 1)
Индекс 22: 'для' (Счетчик: 1)
Индекс 23: 'сможете' (Счетчик: 1)
Индекс 24: 'найти' (Счетчик: 1)
Индекс 25: 'важно' (Счетчик: 1)
Индекс 26: 'хеш-функции' (Счетчик: 1)
Индекс 27: 'тот' (Счетчик: 1)
Индекс 28: 'же' (Счетчик: 1)
Индекс 29: 'свой' (Счетчик: 1)
